#,AACB Web Link,Name,Logo,Format,# of Student,ProgramDeliveryOptions,Website,MainCampus,Country,State,Education,Accreditation,Programs-Undergraduate,Programs-Graduate,Programs-Doctoral,ProgramFormats,VisionMission,Description
1,https://www.aacsb.edu/accredited/a/aalto-university,Aalto University,https://my.aacsb.edu/Portals/0/assets/images/contact/aalto-university.png,Public,"18,939","Blended/Hybrid
Fully Face-to-Face",http://biz.aalto.fi/en/,"Aalto University
School of Business
PO Box 21210
Aalto , Finland
FI-00076 , Finland", Finland,,"Undergraduate,
 Master's,
 Doctoral",Business,"Accounting,
Business Law,
Economics,
Finance,
Information and Service Management,
International Business,
Management,
Marketing","Accounting,
Business Law,
Creative Sustainability,
Economics,
Entrepreneurship and Innovation Management,
Finance,
General Business Management,
Global Management,
Information and Service Management,
International Design Business Management,
Management and International Business,
Marketing",varies,"Full-Time
Part-Time","The vision and mission of the School of Business - The vision of the School is to attract and cultivate global leaders in business research, education, and practice. We plan to achieve this vision by fulfilling our mission: We strive for better business and better society. We excel in education and research with a multidisciplinary approach and in collaboration with our partners.","The Aalto University School of Business educates the influential leaders of tomorrow with over 100 years of experience. We are the leading business school in Finland and one of the top schools in Europe. We are the first business school in the Nordic countries (Denmark, Finland, Iceland, Norway and Sweden) to have received all three labels of excellence from the world's leading business school accreditation bodies: AACSB, AMBA, and EQUIS. The Aalto University School of Business is an innovative and lively community of about 2,700 students and over 450 faculty and staff. We offer education at bachelor's,master's and doctoral levels. Our campuses are in Helsinki area and in Mikkeli, Finland."
2,https://www.aacsb.edu/accredited/a/aarhus-university-aarhus-bss,"Aarhus University, Aarhus BSS",https://my.aacsb.edu/Portals/0/assets/images/contact/Aarhus%20University.png,Public,"35,188",Fully Face-to-Face,http://bss.au.dk/,"Aarhus University, Aarhus BSS
Aarhus BSS
Dean's Office
Bartholins Alle 14
Aarhus C , Denmark
08000 , Denmark", Denmark,,"Undergraduate,
 Master's,
 Doctoral",Business,"Economics,
General Business,
Public Policy,
Social Science","Auditing,
Business Administration,
Commercial Law,
Economics,
General Business,
Public Governance,
Social Science",General Business,"Evenings and Weekends
Full-Time
Partnership
Part-Time",Mission: To be a quality-driven school that contributes to society through delivering leading research in business and social science disciplines and graduates highly valued by national and international job markets. Vision: To contribute to the welfare of society by creating first-class research and education for the benefit of all our stakeholders.,"Aarhus BSS is a business school and one of the five faculties at Aarhus University.  The school is home to six academic departments, all internationally recognised for their quality of educational and research activities, as well as a large number of internationally recognised research centres. Gathering all business and social science disciplines under the same strategic framework has created a dynamic and visionary organisation, which is flexible and changes in line with the society's needs for qualified graduates with the right skillsets.  Aarhus BSS holds the distinguished AACSB, AMBA and EQUIS accreditations, and is thereby a triple crown business school.  The research-based degree programmes offered by the school include highly recognised programmes within disciplines such as economics, finance, accounting, logistics, human resource management, organisation, marketing, management information systems, innovation, entrepreneurship, business communication, law, psychology, public administration and political science."
3,https://www.aacsb.edu/accredited/a/abilene-christian-university,Abilene Christian University,https://my.aacsb.edu/Portals/0/assets/images/contact/abilene-christian.png,Private,"5,334","Fully Face-to-Face
Primarily Online",https://www.acu.edu/academics/college-of-business-administration/,"Abilene Christian University
College of Business Administration
ACU Box 29300
Abilene , Texas
79699-9300 , United States", United States, Texas,"Undergraduate,
 Master's",Business,"Accounting,
Financial Managment,
Information Systems,
Management,
Marketing","Accounting,
Management",,"1 Year
Full-Time
Part-Time",We educate business and technology professionals for Christian service and leadership throughout the world.,"The College of Business Administration at ACU lives out our mission daily – to educate business and technology professionals for Christian service and leadership throughout the world. Our commitment to academic excellence and faith integration in our classes fosters an environment that promotes the spiritual formation, academic growth and professional development of our students. COBA offers undergraduate and graduate professional degrees in both residential and online format, all of which are notable for the academic excellence and highly engaged learning for which ACU is known. Experiential learning, service, and research opportunities provide avenues for lifelong relationships with distinguished alumni and friends. We offer study abroad programs, invited speaker events, and faculty mentoring to all students. The Griggs Center for Entrepreneurship and Philanthropy and Lytle Center for Faith and Leadership allow students to leverage co-curricular opportunities for leadership development and entrepreneurship exploration. Under the umbrella of the College of Business Administration we support the department of Accounting and Finance, the department of Management Sciences, and the School of Information Technology and Computing."
4,https://www.aacsb.edu/accredited/a/abo-akademi-university,Abo Akademi University,,Public,"5,912",,https://www.abo.fi/en/,"Abo Akademi University
School of Business and Economics
Fänriksgatan 3
Turku , Finland
FI-20500 , Finland", Finland,,"Undergraduate,
 Master's,
 Doctoral",Business,,,,,,
5,https://www.aacsb.edu/accredited/a/abu-dhabi-university,Abu Dhabi University,https://my.aacsb.edu/Portals/0/assets/images/contact/Abu-Dhabi-University.jpg,Private,"7,556","Blended/Hybrid
Fully Face-to-Face",http://www.adu.ac.ae/,"Abu Dhabi University
College of Business Administration
PO Box 59911
Khalifa City
Abu Dhabi , United Arab Emirates
59911 , United Arab Emirates", United Arab Emirates,,"Undergraduate,
 Master's,
 Doctoral",Business,"Accounting,
Business Administration,
Digital Marketing,
Entrepreneurship & Innovation Management,
Finance,
HRM,
Management","Business Administration,
HRM,
Leadership",Business Administration,"Full-Time
Part-Time","With a student-centric philosophy, the College of Business prepares graduates to drive organizational transformation through leadership in business sustainability. The College achieves its mission through the strategic themes of innovative and relevant programs, high impact research, and active engagement, which are underpinned by the cross-cutting strategic themes of business sustainability and global connectivity. The College mission is a statement of shared purpose and is underpinned by our values (excellence, respect, innovation, integrity, and equity).","The College of Business is an internationally recognized business school accredited by the Association to Advance Collegiate Schools of Business (AACSB) and the European Foundation for Management Development (EQUIS). Our programs are also accredited by the Ministry of Education’s Commission for Academic Accreditation here in the United Arab Emirates (UAE).
Our students join, a young, dynamic university that has risen rapidly through international university rankings. The QS World University rankings, for example, place us within the world’s top 150 universities under 50 years of age and we are one of only two universities in the UAE with research output ranked as Very High.
The College curriculum is informed by local and international business leaders to ensure that it remains relevant for the contemporary work environment. We continually review and improve our program and course portfolio to provide our students with innovative and engaging, learning experiences, that reflect the current and emerging priorities of industry, government, and the professions.
Our commitment to our students includes engaging in research into the scholarship of teaching and learning that enhances student support programs and allows our students to reach their academic potential. This student-centric philosophy includes creating international study opportunities in Australia, Brazil, France, Ireland, South Korea and the United Kingdom. Students can also elect to enroll in joint degree programs with Queensland University of Technology Monash University (QS world rank 55).
Our highly qualified, faculty are selected from some of the world’s most prestigious universities. They challenge our students by creating a learning environment that bridges the gap between business theory and industry practice. Real world examples include our Bloomberg trading floor, business simulations, local and international industry case studies and authentic industry-based assessments. Our research extends our industry orientation and we collaborate locally, regionally and internationally to conduct high impact research focused on current and emerging business challenges. This continual engagement with our multiple industry connections, allows us to deliver up-to-date specialist knowledge to ensure our students develop the skills, values and mindset required to meet the current and future needs of industry and enter the workforce with confidence."
6,https://www.aacsb.edu/accredited/a/adelphi-university,Adelphi University,https://my.aacsb.edu/Portals/0/assets/images/contact/adelphi-university-ny.png,Private,"7,252",Fully Face-to-Face,http://business.adelphi.edu/,"Adelphi University
Robert B. Willumstad School of Business
Hagedorn Hall
One South Avenue, PO Box 701
Garden City , New York
11530-4299 , United States", United States, New York,"Undergraduate,
 Master's",Business,"Accounting,
Business,
Finance,
Management,
Marketing","Business Analytics,
Global Business Management,
Management,
Professional Accounting,
Supply Chain Management",,"1 Year
Evenings and Weekends
Full-Time
Off Campus
Part-Time","We prepare a diverse student body to be data-driven, socially responsible, and resilient leaders. We do this through an experience-based and integrated curriculum delivered by a student-centered faculty committed to excellence both within and outside the classroom.","Located in the New York City metropolitan region, the WIllumstad School provides undergraduate, MBA and MS, and certificate programs.  The curriculum incoporates experiential learning and the School has close ties with the business and professional communities."
7,https://www.aacsb.edu/accredited/a/ajman-university,Ajman University,,Private,"6,215",,http://www.ajman.ac.ae/en,"Ajman University
College of Business Administration
University Street
Jerf, PO Box 346
Ajman , United Arab Emirates
United Arab Emirates"," United Arab Emirates
United Arab Emirates",,"Undergraduate,
 Master's,
 Doctoral",Business,,,,,,
8,https://www.aacsb.edu/accredited/a/al-ain-university,Al Ain University,https://my.aacsb.edu/Portals/0/assets/images/contact/1c2ab92b-f3e0-49eb-ae4c-5c12f7e7ee4a.jpg,Private,,,http://www.aau.ac.ae/,"Al Ain University
112612, Al Ain
Jimi Amriyah
Al Ain , United Arab Emirates
112612 , United Arab Emirates", United Arab Emirates,,Master's,Business,,,,,,
9,https://www.aacsb.edu/accredited/a/alabama-am-university,Alabama A&M University,https://my.aacsb.edu/Portals/0/assets/images/contact/Alabama%20A&M.png,Public,"5,992",,http://www.aamu.edu/,"Alabama A&M University
College of Business and Public Affairs
4900 Meridian Street North
Room 309
Normal , Alabama
35762 , United States", United States, Alabama,"Undergraduate,
 Master's",Business,,,,,"Building on our heritage as an 1890 Land-Grant University, we are a college providing relevant business & social science education to emerging leaders ready to make a global impact.","Established in 1968, the College of Business & Public Affairs (COBPA) at AAMU now has 1200 undergraduate students pursuing degrees in one of ten (10) majors – accounting, business administration, criminal justice, entrepreneurship, finance, logistics & supply chain management, management, marketing, political science, and sociology. In addition, the college has 138 graduate students pursuing a Masters of Business Administration.  Our vision, “Graduates making significant contributions to society,” aligns with AAMU’s mantra of “Start Here, Go Anywhere” and frames our sense of purpose, direction, drive, and mission. As we continue to pursue our mission, we expect that alumni of COBPA will be nationally and globally recognized as successful entrepreneurs, corporate executives, non-profit directors, political leaders, and community activist, all creating positive changes in their community and the world.  One of our overarching values is Student-Centeredness. As a college, we place student success as the most important factor behind all our decisions and provide nurturing and caring support for our students. We are genuinely concerned for our students’ welfare, listen to students’ needs, and demonstrate respect and empathy as we advise, mentor, and actively engage with our students."
10,https://www.aacsb.edu/accredited/a/alfred-university,Alfred University,https://my.aacsb.edu/Portals/0/assets/images/contact/alfred-university.jpg,Private,"2,148","Exclusively Online
Fully Face-to-Face
Multi-Modal",https://www.alfred.edu/academics/colleges-schools/business/index.cfm,"Alfred University
College of Business
Olin Building
1 Saxon Drive
Alfred , New York
14802 , United States", United States, New York,"Undergraduate,
 Master's",Business,"Accounting,
Business Administration,
Business Analytics,
Finance,
Healthcare Planning and Management,
Marketing","Accounting,
Management",,"1 Year
Full-Time
Part-Time","The College of Business advances Alfred University's mission and goals in providing intellectual leadership through teaching, research and service.  We provide active-learning driven educational programs in business management to interdisciplinary undergraduate and graduate students who value an intimate, interactive, student-centered learning environment. We develop our students into ethical business leaders who can think critically and communicate effectively in both domestic and global arenas. Our faculty conducts discipline based, applied and instructional research that bridge the gap between business theory and practice.","An investment in your future  We take creative, adventurous students and give them the tools to succeed, whether they are pursuing their bachelor's or MBA degree. Our graduates are sought after candidates by regional, national, and international companies. We help shape future business leaders."
